USER_ID,FIRST_NAME,LAST_NAME,BEGIN_BALANCE
000000,Sigrid,Lofthus,$199305.00
000001,Quyen,Jergen,$286392.00
000002,Hong,Rajtar,$416918.00
000003,Geneva,Goldtooth,$572844.00
000004,Regine,Marcks,$200042.00
000005,Eddie,Sottosanti,$351096.00
000006,Markus,Sappenfield,$551466.00
000007,Consuelo,Leigers,$261555.00
000008,Petra,Battaglini,$658932.00
000009,Alfredia,Jasso,$801843.00
000010,Aurore,Brad,$384814.00
000011,Willetta,Hatori,$100377.00
000012,Shiloh,Lamorgese,$882525.00
000013,Chin,Gompf,$421193.00
000014,Nicole,Dierker,$681463.00
000015,Alissa,Brosseau,$188016.00
000016,Serita,Henseler,$314214.00
000017,Jeffrey,Midgette,$442940.00
000018,Kerry,Clever,$166750.00
000019,Rigoberto,Renter,$289062.00
000020,Shae,Dresher,$780392.00
000021,Charity,Spelts,$519144.00
000022,Masako,Pittner,$268222.00
000023,Elinor,Ottogary,$373141.00
000024,Lelah,Heffelbower,$464336.00
000025,Queen,Striegel,$616498.00
000026,Laure,Nowland,$512442.00
000027,Tyrell,Harkavy,$255515.00
000028,Bell,Deschaine,$522432.00
000029,Sterling,Cavalcante,$461869.00
000030,Elisabeth,Mccutcheon,$541901.00
000031,Hellen,Hermus,$602221.00
000032,Willetta,Buchberger,$263173.00
000033,Aleida,Riesgraf,$646974.00
000034,Jeromy,Cordle,$613359.00
000035,Jeri,Mullany,$490023.00
000036,Thomasine,Christie,$348037.00
000037,Launa,Mashak,$428905.00
000038,Grayce,Birts,$342725.00
000039,Bettie,Jensrud,$351850.00
000040,Joann,Barbera,$731228.00
000041,Gerda,Tyler,$267195.00
000042,Lucille,Clawson,$266659.00
000043,Valeria,Stindt,$329943.00
000044,Elisabeth,Carnicelli,$135380.00
000045,Humberto,Toscani,$690848.00
000046,Jonelle,Ellsmore,$116423.00
000047,Aiko,Rydel,$718879.00
000048,Danika,Caputi,$370507.00
000049,Luanna,Stile,$539562.00
000050,Marge,Bogust,$143675.00
000051,Maribeth,Wachs,$314520.00
000052,Jefferey,Brade,$565922.00
000053,Basil,Haylock,$804851.00
000054,Beata,Robirds,$505821.00
000055,Taryn,Edinger,$558429.00
000056,Ming,Buemi,$167321.00
000057,Antonia,Sica,$622426.00
000058,Carroll,Crecelius,$180359.00
000059,Shirlee,Whitis,$430088.00
000060,Justa,Bloxsom,$699344.00
000061,Mafalda,Batlle,$379489.00
000062,Aubrey,Almos,$255419.00
000063,Dania,Raj,$648714.00
000064,Verdell,Wiesen,$482802.00
000065,Juana,Downhour,$207052.00
000066,Liza,Gluck,$428917.00
000067,Laurena,Labor,$672791.00
000068,Violet,Munkberg,$389666.00
000069,Elanor,Skill,$233009.00
000070,Armand,Riney,$692900.00
000071,Xiomara,Grenfell,$160347.00
000072,Lacy,Floyd,$643294.00
000073,Roderick,Lomartire,$280936.00
000074,Conchita,Burrowes,$149789.00
000075,Isabelle,Yuki,$877638.00
000076,Numbers,Wernert,$114319.00
